@relation dataset_1

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 {nom_2_0,nom_2_1,nom_2_2,nom_2_3,nom_2_4,nom_2_5}
@attribute col3 numeric
@attribute col4 numeric
@attribute class {class0,class1,class2}

@data
-0.899376,0,nom_2_0,0,?,class0
-0.819459,0,nom_2_0,0,?,class0
-0.442911,0,nom_2_0,0,?,class0
1.086775,1,nom_2_0,1,?,class0
0.130583,0,nom_2_1,0,?,?
1.329057,1,nom_2_1,1,?,class0
5.166047,0,nom_2_2,0,?,class1
0.014713,0,nom_2_0,0,?,class0
-0.578832,1,nom_2_0,1,?,?
1.054995,1,nom_2_1,1,?,class0
0.44402,1,nom_2_1,1,?,class0
-1.183896,0,nom_2_0,0,?,class0
0.04379,1,nom_2_1,1,?,class0
1.160938,1,nom_2_1,1,?,class0
-1.194298,0,nom_2_0,0,?,class0
1.692458,1,nom_2_1,1,?,class0
0.260345,1,nom_2_1,1,?,class0
0.967565,1,nom_2_1,1,?,class0
-2.174585,0,nom_2_0,0,?,class0
-0.45239,0,nom_2_0,0,?,class0
0.341585,1,nom_2_1,1,?,class0
0.884427,1,nom_2_1,1,?,class0
-0.186295,0,nom_2_0,0,?,class0
0.143067,1,nom_2_1,1,?,class0
-0.026965,1,nom_2_1,1,?,class0
-1.275316,0,nom_2_0,0,?,?
-1.746011,0,nom_2_0,0,?,class0
-1417.289725,0,nom_2_0,0,?,class0
-1.046665,0,nom_2_0,0,?,class0
-1.553907,0,nom_2_0,0,?,class0
-1.152978,0,nom_2_0,0,?,class0
-0.15928,0,nom_2_0,0,?,class0
-66.647732,1,nom_2_0,1,?,class0
1561.717203,1,nom_2_1,1,?,class0
-0.88295,0,nom_2_0,0,?,class0
5.734886,1,nom_2_2,1,?,class1
-1.993426,0,nom_2_0,0,?,class0
0.324228,1,nom_2_1,1,?,class0
271.755842,0,nom_2_0,0,?,class0
-0.324973,0,nom_2_0,0,?,class0
-2.114428,0,nom_2_0,0,?,class0
0.390723,1,nom_2_1,1,?,class0
-0.652505,0,nom_2_0,0,?,class0
-1.065289,0,nom_2_0,0,?,class0
1.605113,1,nom_2_1,1,?,class0
1.168701,1,nom_2_1,1,?,?
-0.024323,0,nom_2_0,0,?,class0
-1461.494387,0,nom_2_0,0,?,class0
0.249891,1,nom_2_1,1,?,class0
-0.545187,0,nom_2_0,0,?,class0
2.487351,1,nom_2_1,1,?,class0
0.553282,1,nom_2_0,1,?,class0
9.567689,0,nom_2_3,0,?,class2
-1.41165,0,nom_2_0,0,?,class0
-0.554041,0,nom_2_0,0,?,?
0.074829,0,nom_2_1,0,?,class0
0.236619,0,nom_2_0,0,?,class0
-1.188179,0,nom_2_0,0,?,class0
-1.236119,0,nom_2_0,0,?,class0
-1.215085,0,nom_2_0,0,?,class0
-0.125931,1,nom_2_0,1,?,class0
-0.54417,0,nom_2_0,0,?,class0
-1.127407,0,nom_2_0,0,?,class0
0.058945,0,nom_2_0,0,?,class0
0.056942,1,nom_2_0,1,?,class0
-1350.721544,0,nom_2_0,0,?,class0
0.325688,1,nom_2_1,1,?,class0
-0.781942,0,nom_2_0,0,?,class0
-0.736431,0,nom_2_0,0,?,class0
-1.474977,0,nom_2_0,0,?,class0
5.733197,1,nom_2_2,1,?,class1
0.159834,0,nom_2_0,0,?,class0
659.373311,0,nom_2_1,0,?,class0
-1.065654,0,nom_2_0,0,?,class0
-0.214627,1,nom_2_1,1,?,class0
-1.510751,0,nom_2_0,0,?,class0
1.65832,1,nom_2_1,1,?,class0
-0.964701,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
5.436545,1,nom_2_2,1,?,class1
0.100383,1,nom_2_1,1,?,class0
-0.837776,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
0.58709,1,nom_2_1,1,?,class0
-0.073054,0,nom_2_0,0,?,class0
-0.752345,0,nom_2_0,0,?,class0
-0.944157,0,nom_2_0,0,?,class0
-2.189465,0,nom_2_0,0,?,?
-0.02512,1,nom_2_0,1,?,class0
-0.557957,0,nom_2_1,0,?,class0
-1.396354,0,nom_2_0,0,?,class0
1.310079,1,nom_2_1,1,?,class0
-0.919262,0,nom_2_0,0,?,class0
0.299345,0,nom_2_1,0,?,class0
-0.823604,0,nom_2_1,0,?,class0
-0.44962,0,nom_2_0,0,?,class0
1.19577,1,nom_2_1,1,?,class0
1.180957,1,nom_2_1,1,?,class0
0.075345,0,nom_2_1,0,?,class0
-1.195022,0,nom_2_0,0,?,class0
-1.842481,0,nom_2_0,0,?,class0
9.892329,1,nom_2_4,1,?,class2
-0.421788,0,nom_2_0,0,?,class0
1.2747,1,nom_2_1,1,?,class0
1.55351,1,nom_2_1,1,?,class0
0.296116,0,nom_2_0,0,?,class0
251.483839,1,nom_2_1,1,?,class0
0.646331,1,nom_2_0,1,?,class0
0.310934,1,nom_2_0,1,?,class0
0.358749,1,nom_2_0,1,?,class0
-0.513792,0,nom_2_1,0,?,class0
1.091165,1,nom_2_1,1,?,class0
1.423237,1,nom_2_0,1,?,class0
-1.006943,0,nom_2_0,0,?,class0
-0.528268,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
0.225969,1,nom_2_1,1,?,class0
-0.299369,1,nom_2_1,1,?,class0
-0.044216,0,nom_2_0,0,?,class0
3.924663,0,nom_2_2,0,?,class1
-1.327862,0,nom_2_0,0,?,class0
-0.213767,0,nom_2_0,0,?,class0
6.189298,1,nom_2_2,1,?,class1
0.721727,0,nom_2_1,0,?,class0
0.641836,1,nom_2_1,1,?,class0
6.246988,1,nom_2_2,1,?,class1
0.018465,1,nom_2_0,1,?,class0
-1244.384449,0,nom_2_0,0,?,class0
501908.334366,0,nom_2_0,0,?,class0
9.546633,1,nom_2_3,1,?,class2
-0.118815,1,nom_2_1,1,?,class0
0.36989,1,nom_2_1,1,?,class0
-0.720902,0,nom_2_0,0,?,class0
10.384424,1,nom_2_4,1,?,class2
0.537427,1,nom_2_0,1,?,class0
-0.119172,1,nom_2_0,1,?,class0
0.55743,1,nom_2_1,1,?,class0
0.583686,1,nom_2_0,1,?,class0
-1.094424,0,nom_2_0,0,?,class0
0.38424,1,nom_2_1,1,?,class0
5.721635,1,nom_2_2,1,?,class1
?,0,nom_2_2,0,?,class1
11.276719,1,nom_2_4,1,?,class2
1.065253,1,nom_2_1,1,?,class0
0.256151,1,nom_2_0,1,?,class0
10.586923,0,nom_2_4,0,?,?
?,0,nom_2_0,0,?,class0
0.096219,1,nom_2_1,1,?,class0
-0.890331,0,nom_2_0,0,?,class0
-0.446681,0,nom_2_0,0,?,class0
9.175843,0,nom_2_4,0,?,class2
1.166108,1,nom_2_1,1,?,class0
3.397854,0,nom_2_2,0,?,class1
1.25522,1,nom_2_1,1,?,class0
0.891858,1,nom_2_1,1,?,class0
-0.889029,0,nom_2_0,0,?,class0
-0.70754,0,nom_2_0,0,?,class0
-0.715086,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
7.950068,0,nom_2_3,0,?,?
0.57756,1,nom_2_1,1,?,class0
0.914754,1,nom_2_1,1,?,class0
0.200921,1,nom_2_0,1,?,class0
1.785104,1,nom_2_1,1,?,class0
5.181155,0,nom_2_2,0,?,class1
-0.032669,0,nom_2_0,0,?,class0
0.680799,1,nom_2_1,1,?,class0
0.113891,1,nom_2_0,1,?,class0
1.718772,1,nom_2_1,1,?,class0
-1.270806,0,nom_2_0,0,?,class0
7.094341,1,nom_2_3,1,?,class1
0.425812,0,nom_2_0,0,?,class0
-0.231364,0,nom_2_0,0,?,class0
0.624336,0,nom_2_1,0,?,class0
-0.0688,1,nom_2_1,1,?,class0
