@relation dataset_13

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 {nom_2_0,nom_2_1,nom_2_2}
@attribute col3 {nom_3_0,nom_3_1,nom_3_2}
@attribute col4 numeric
@attribute col5 numeric
@attribute class numeric

@data
-0.460017,0,nom_2_0,nom_3_0,0,?,0.583284
0.493348,?,nom_2_0,nom_3_0,?,?,0.879084
2.038001,1,nom_2_1,nom_3_1,1,?,3.809519
-1.638229,0,nom_2_0,nom_3_0,0,?,2.799178
1.348655,1,nom_2_1,nom_3_1,1,?,?
1.399234,1,nom_2_1,nom_3_1,1,?,3.478562
0.05301,0,nom_2_0,nom_3_1,0,?,0.713192
1.324734,1,nom_2_1,nom_3_1,1,?,2.653756
0.240808,1,nom_2_0,nom_3_1,1,?,0.885538
360.459676,1,nom_2_0,nom_3_1,1,?,0.67793
-1.43115,?,nom_2_0,nom_3_0,?,?,2.407461
2.044387,1,nom_2_1,nom_3_1,1,?,2.809242
0.335719,1,nom_2_1,nom_3_1,1,?,0.931246
-1.357115,1,nom_2_0,nom_3_0,1,?,1.479147
-0.291348,0,nom_2_0,nom_3_0,0,?,0.520714
0.032346,?,nom_2_0,nom_3_0,?,?,0.273155
-0.009189,0,nom_2_0,nom_3_0,0,?,0.378916
1.245462,1,nom_2_1,nom_3_1,1,?,?
-0.738422,?,nom_2_0,nom_3_0,?,?,2.094454
1.586899,1,nom_2_1,nom_3_1,1,?,2.369319
0.888021,1,nom_2_1,nom_3_1,1,?,3.067741
-0.709267,0,nom_2_0,nom_3_0,0,?,0.8099
0.323166,1,nom_2_0,nom_3_1,1,?,0.626048
-1.341732,1,nom_2_0,nom_3_0,1,?,1.90607
0.944282,1,nom_2_1,nom_3_1,1,?,2.308532
-1.260107,0,nom_2_0,nom_3_0,0,?,2.991405
0.504761,1,nom_2_0,nom_3_0,1,?,0.7606
-0.046857,0,nom_2_0,nom_3_0,0,?,1.100035
0.903242,1,nom_2_1,nom_3_1,1,?,1.747362
-0.20333,0,nom_2_0,nom_3_0,0,?,?
-0.124219,1,nom_2_1,nom_3_0,1,?,0.353961
0.582683,1,nom_2_1,nom_3_0,1,?,2.15538
1.145354,1,nom_2_1,nom_3_0,1,?,1.506805
1.250742,1,nom_2_1,nom_3_1,1,?,2.501987
0.722919,1,nom_2_1,nom_3_1,1,?,1.64147
-1.815848,0,nom_2_0,nom_3_0,0,?,1.833314
1.717324,1,nom_2_1,nom_3_1,1,?,2.803293
-0.442642,?,nom_2_0,nom_3_1,?,?,0.776673
-2.021889,0,nom_2_0,nom_3_0,0,?,?
3.021753,1,nom_2_1,nom_3_1,1,?,5.096451
-0.079107,0,nom_2_0,nom_3_0,0,?,1.74324
1466.028155,1,nom_2_1,nom_3_1,1,?,2.731871
-0.1897,1,nom_2_0,nom_3_1,1,?,0.848227
-0.478899,1,nom_2_0,nom_3_1,1,?,1.237426
2.342476,1,nom_2_1,nom_3_1,1,?,4.132396
-0.965452,0,nom_2_0,nom_3_0,0,?,?
-0.785903,1,nom_2_0,nom_3_0,1,?,1.455153
0.42176,1,nom_2_1,nom_3_1,1,?,1.217282
-1.02909,0,nom_2_0,nom_3_0,0,?,2.367258
1.063928,1,nom_2_1,nom_3_1,1,?,1.977333
-0.560166,0,nom_2_0,nom_3_1,0,?,1.304159
-0.068733,0,nom_2_0,nom_3_1,0,?,1.000733
0.366435,1,nom_2_0,nom_3_1,1,?,0.624895
0.891309,1,nom_2_1,nom_3_1,1,?,1.920298
-0.653533,1,nom_2_0,nom_3_0,1,?,0.726504
124.682694,0,nom_2_0,nom_3_0,0,?,0.897086
0.281138,1,nom_2_1,nom_3_0,1,?,?
1.649575,?,nom_2_1,nom_3_1,?,?,3.414122
0.030678,1,nom_2_1,nom_3_1,1,?,1.401599
-0.068127,1,nom_2_0,nom_3_1,1,?,0.632047
-1.553181,0,nom_2_0,nom_3_0,0,?,3.257614
-1.061297,0,nom_2_0,nom_3_0,0,?,2.532583
0.732833,1,nom_2_1,nom_3_0,1,?,1.226669
0.244693,?,nom_2_1,nom_3_0,?,?,1.088798
-0.17102,0,nom_2_1,nom_3_0,0,?,0.471666
2.026164,1,nom_2_1,nom_3_1,1,?,3.446787
1.003144,1,nom_2_1,nom_3_1,1,?,2.412079
-1.023148,0,nom_2_0,nom_3_0,0,?,1.659091
0.772362,0,nom_2_0,nom_3_0,0,?,1.170405
-0.853089,0,nom_2_1,nom_3_0,0,?,1.153845
-0.177803,0,nom_2_1,nom_3_1,0,?,0.662397
1.225613,1,nom_2_1,nom_3_1,1,?,3.682212
1.065378,1,nom_2_0,nom_3_1,1,?,?
0.117671,1,nom_2_1,nom_3_1,1,?,0.797094
-0.701395,0,nom_2_0,nom_3_0,0,?,1.496854
-1.124538,0,nom_2_0,nom_3_0,0,?,2.607221
0.940337,0,nom_2_0,nom_3_0,0,?,1.800325
0.448093,1,nom_2_1,nom_3_1,1,?,1.509113
1.069726,1,nom_2_1,nom_3_1,1,?,?
0.603062,1,nom_2_1,nom_3_0,1,?,0.834017
-0.472026,0,nom_2_0,nom_3_0,0,?,1.835426
