@relation dataset_16

@attribute col0 {nom_0_0,nom_0_1,nom_0_2}
@attribute col1 {nom_1_0,nom_1_1,nom_1_2}
@attribute class numeric

@data
nom_0_0,nom_1_0,0.568454
nom_0_0,nom_1_0,1.927467
nom_0_1,nom_1_1,1.39537
nom_0_0,nom_1_0,0.331347
nom_0_0,nom_1_0,0.409779
nom_0_0,nom_1_0,0.450277
nom_0_0,nom_1_1,0.372828
nom_0_0,nom_1_0,2.043649
nom_0_0,nom_1_0,0.590417
nom_0_0,nom_1_0,1.995421
nom_0_1,nom_1_1,0.477588
nom_0_0,nom_1_1,0.338929
nom_0_1,nom_1_1,1.559322
nom_0_1,nom_1_0,0.279203
nom_0_0,nom_1_0,0.571279
nom_0_0,nom_1_0,1.620841
nom_0_0,nom_1_0,0.820169
nom_0_0,nom_1_0,0.346628
nom_0_0,nom_1_0,0.540093
nom_0_1,nom_1_0,0.831301
nom_0_0,nom_1_0,0.651937
nom_0_0,nom_1_0,0.081317
nom_0_1,nom_1_0,0.40572
nom_0_0,nom_1_0,0.778061
nom_0_0,nom_1_0,0.316729
nom_0_1,nom_1_1,1.083
nom_0_0,nom_1_1,1.002502
nom_0_1,nom_1_1,0.901064
nom_0_1,nom_1_0,1.153031
nom_0_1,nom_1_1,4.083888
nom_0_0,nom_1_0,3.80832
nom_0_1,nom_1_1,0.545732
nom_0_0,nom_1_0,0.064573
nom_0_0,nom_1_0,0.256157
nom_0_0,nom_1_0,1.488008
nom_0_0,nom_1_0,0.256366
nom_0_0,nom_1_0,1.321402
nom_0_1,nom_1_1,2.818696
nom_0_1,nom_1_0,0.599067
nom_0_1,nom_1_1,1.255886
nom_0_1,nom_1_0,1.162223
nom_0_1,nom_1_1,1.481849
nom_0_0,nom_1_0,1.114182
nom_0_1,nom_1_0,0.481078
nom_0_1,nom_1_1,2.625462
nom_0_1,nom_1_1,0.724573
nom_0_0,nom_1_0,2.954944
nom_0_0,nom_1_0,0.841085
nom_0_0,nom_1_0,1.010222
nom_0_0,nom_1_0,0.297216
nom_0_0,nom_1_0,0.760289
nom_0_0,nom_1_0,0.856625
nom_0_1,nom_1_1,1.760351
nom_0_0,nom_1_0,3.180083
nom_0_0,nom_1_0,0.363098
nom_0_1,nom_1_1,0.489252
nom_0_0,nom_1_0,0.453051
nom_0_1,nom_1_1,1.655166
nom_0_1,nom_1_1,0.382685
nom_0_0,nom_1_1,0.781318
nom_0_0,nom_1_0,0.475435
nom_0_1,nom_1_0,0.422332
nom_0_1,nom_1_0,0.299475
nom_0_0,nom_1_0,1.863432
nom_0_0,nom_1_1,0.549926
nom_0_0,nom_1_0,0.695599
nom_0_0,nom_1_0,0.166282
nom_0_0,nom_1_0,1.924535
nom_0_0,nom_1_0,0.615475
nom_0_0,nom_1_0,0.586132
nom_0_1,nom_1_1,1.540554
nom_0_1,nom_1_1,3.259187
nom_0_0,nom_1_1,0.918494
nom_0_0,nom_1_0,1.424316
nom_0_0,nom_1_0,0.583582
nom_0_0,nom_1_0,0.472232
nom_0_0,nom_1_1,0.740042
nom_0_0,nom_1_1,0.219618
nom_0_0,nom_1_0,1.91627
nom_0_1,nom_1_1,0.886457
nom_0_0,nom_1_0,1.193535
nom_0_0,nom_1_1,1.331194
nom_0_0,nom_1_0,1.327844
nom_0_0,nom_1_0,1.505471
nom_0_1,nom_1_1,0.854255
nom_0_0,nom_1_0,0.576788
nom_0_0,nom_1_0,1.043733
nom_0_1,nom_1_1,0.917228
nom_0_0,nom_1_0,1.678219
nom_0_0,nom_1_0,1.478855
nom_0_0,nom_1_0,0.905265
nom_0_0,nom_1_0,0.854554
nom_0_1,nom_1_1,1.62526
nom_0_1,nom_1_0,1.288569
nom_0_0,nom_1_1,0.513304
nom_0_1,nom_1_1,1.963964
nom_0_0,nom_1_0,0.051673
nom_0_1,nom_1_1,1.412772
nom_0_0,nom_1_0,0.726924
nom_0_0,nom_1_0,0.579045
nom_0_1,nom_1_1,0.840177
nom_0_1,nom_1_1,0.701327
nom_0_1,nom_1_1,1.741354
nom_0_1,nom_1_1,0.849868
nom_0_1,nom_1_1,0.93209
nom_0_1,nom_1_0,0.434322
nom_0_0,nom_1_0,0.380631
nom_0_0,nom_1_1,0.406306
nom_0_0,nom_1_0,2.33803
nom_0_1,nom_1_1,1.352738
nom_0_0,nom_1_0,0.936391
nom_0_0,nom_1_1,1.231953
nom_0_0,nom_1_0,1.474536
nom_0_0,nom_1_1,0.864328
nom_0_1,nom_1_1,1.924754
nom_0_0,nom_1_0,1.232317
nom_0_1,nom_1_1,1.809555
nom_0_1,nom_1_1,2.282524
nom_0_0,nom_1_0,1.679846
nom_0_1,nom_1_1,1.757585
