@relation dataset_19

@attribute col0 numeric
@attribute col1 numeric
@attribute class numeric

@data
1.618198,0.502769,1.694503
2.251689,1.436157,2.670702
-2.077723,-2.16028,2.997289
0.11049,0.887603,0.894454
-1.094117,-0.757123,1.330536
1.330563,0.822013,1.564002
0.292965,1.264281,1.297781
0.9906,-0.916612,1.349617
0.600761,0.147577,0.618622
-2.328635,-1.974969,3.053367
0.245236,0.021328,0.246161
-0.986049,-1.07762,1.46067
-0.794179,-0.947317,1.236175
-0.137016,0.410775,0.433023
0.35617,0.460258,0.581974
0.20606,-0.197886,0.285691
247.599522,1.197454,1.222784
0.358543,-0.430687,0.560397
0.263304,0.186695,0.322776
-0.909509,-0.550942,1.063364
0.970791,-0.169404,0.985461
0.752108,-0.073291,0.75567
1.201953,0.55856,1.325398
0.768886,0.516073,0.926022
0.886237,-0.509859,1.022434
0.310832,0.555687,0.636714
2.67072,2.749119,3.832806
-1.06528,-0.696429,1.272727
0.438049,0.88872,0.990813
1.91493,2.769321,3.366912
-0.196377,0.510415,0.546889
0.58341,0.850486,1.031356
0.169031,0.274659,0.322505
1.434021,0.575922,1.545348
0.181967,0.3123,0.361446
0.878992,1.249982,1.528098
1.862122,1.382936,2.319485
-1.289542,-1.772577,2.19202
-0.100031,-1.112377,1.116866
-1.044222,-1.106427,1.521374
516.892158,0.110798,0.528634
1.384417,0.616593,1.515519
-1.720057,-1.173675,2.082333
0.50002,0.121227,0.514505
2.149767,2.419202,3.236362
0.14634,-0.169379,0.223841
-0.621208,1.350653,1.486661
-0.01953,0.031113,0.036735
-0.078781,-0.059378,0.098652
-1.804736,-1.387499,2.27645
-0.966976,-0.479469,1.079321
-0.166776,0.281859,0.327503
0.303775,0.21255,0.370751
-1.362892,-0.814617,1.58779
-0.00846,-0.003555,0.009177
-0.234463,-0.689609,0.728377
-0.839339,-0.091525,0.844314
-0.845459,-0.910382,1.242416
0.520621,0.672872,0.850766
-1.522391,-1.027312,1.836585
1.173638,0.838788,1.442564
-1.789439,-2.247924,2.873196
-0.555072,-0.301155,0.631505
-1.187762,0.579944,1.321784
-0.233552,0.484364,0.537731
0.901678,1.140949,1.454231
-1.057007,-0.496447,1.167785
0.87415,1.118828,1.419829
-0.018437,0.023855,0.030149
0.302333,0.704036,0.766206
0.673606,0.719632,0.985705
1.364422,1.246791,1.848279
0.628167,0.166961,0.649976
2.518649,0.978292,2.701971
0.974299,1.465973,1.760209
-0.199301,-0.67045,0.699445
0.032701,0.290865,0.292698
0.020132,0.410668,0.411161
-0.878828,-1.253114,1.530567
-1.236941,-0.893553,1.525929
-560101.048705,-0.068232,0.564242
0.422648,0.915021,1.007916
-0.062275,0.435913,0.440339
-0.538124,-0.653308,0.846398
0.733047,0.904236,1.164045
0.863071,1.475665,1.709526
1.152458,0.589906,1.294661
0.333689,-1.140084,1.187914
1.049192,2.008009,2.265592
-0.040024,-0.222039,0.225618
-0.269134,-0.055685,0.274834
0.303079,0.475515,0.56389
-0.322758,-0.514402,0.607274
-0.534079,-0.218736,0.577136
0.343467,0.379357,0.511743
-0.27744,-0.398986,0.485966
0.416745,-0.014627,0.417002
0.459243,0.047982,0.461743
1.097667,1.177069,1.609461
1.48649,1.084632,1.84013
49.177012,1.095823,1.096926
-0.222723,0.025824,0.224215
0.189195,-0.240259,0.305808
1.686133,-0.145631,1.692411
0.213735,1.515767,1.530762
-1.083822,-0.723043,1.302867
-0.630802,-0.503565,0.807149
2.122608,2.577029,3.338644
-0.453759,-0.84326,0.957594
-0.094273,-0.060524,0.112029
0.839476,0.679155,1.079802
0.841066,-0.47486,0.965859
0.080558,0.814512,0.818486
0.027821,0.202421,0.204324
1.25415,2.044984,2.398927
-0.091904,-1.271626,1.274943
0.06628,-0.595452,0.59913
-0.723899,-1.108192,1.323676
-0.706942,-0.832348,1.092049
-0.655237,-0.70284,0.960895
-1.329327,-1.048684,1.693177
0.441601,0.966563,1.062664
-0.791716,-1.102818,1.35758
-2.101094,-2.350186,3.152455
0.655376,0.283578,0.714096
1.563802,0.395185,1.612963
-0.150031,0.463389,0.487072
-1.718306,-0.569865,1.810338
-1.284732,-1.80826,2.218184
-0.449221,-0.29974,0.54004
1.594089,0.312255,1.624384
2.356914,1.031336,2.572683
-1.571974,-0.753527,1.743245
-0.415736,-0.028425,0.416707
-0.0454,-0.525917,0.527873
1.162644,0.523395,1.275023
-1.037229,0.134024,1.045852
-2.182627,-2.604313,3.397986
1.342358,0.42149,1.406975
-1.483841,-1.530193,2.131496
0.70144,-0.455381,0.836295
-1.031617,-1.308179,1.666003
0.224615,0.251144,0.336935
-1.169248,-1.155191,1.643657
752.582311,0.130355,0.763788
-1.975419,-0.996823,2.212676
-0.54398,0.541855,0.767802
-0.590139,0.236934,0.635926
0.6814,1.298289,1.466241
-1.002771,0.024361,1.003066
0.588694,1.047745,1.201803
-0.382498,0.149901,0.410823
1.524195,0.158413,1.532405
-0.575114,-0.539885,0.788816
1.079217,1.3132,1.699766
0.147451,0.938912,0.950419
0.04845,0.992787,0.993968
-1.066462,-0.847056,1.361927
0.237497,0.80693,0.841155
1.868287,1.899456,2.664288
-1.541987,-1.609798,2.229164
-0.973349,-1.419425,1.721098
-0.823538,-0.624041,1.033267
0.519432,1.40023,1.49347
-1.304921,-1.318702,1.855207
0.802199,1.179228,1.42622
-0.879137,-0.57613,1.051098
-0.11926,-0.567304,0.579704
-0.71953,-1.132363,1.34163
0.286734,0.000223,0.286734
0.362214,0.779582,0.85962
-2.116255,-1.468448,2.575825
1.500885,0.359444,1.543326
-1.453669,-0.866127,1.692137
0.891021,1.237506,1.524907
0.053921,0.54669,0.549343
-0.116324,0.045654,0.124963
0.115451,0.365222,0.383035
-0.644669,-0.307378,0.714198
-310.510925,-0.122336,0.333741
-0.943584,0.01855,0.943766
0.160284,0.352386,0.387126
0.997516,0.521565,1.125642
0.507955,0.331024,0.606296
1.48919,0.975967,1.780505
1.004636,0.729266,1.24142
-0.238441,-0.322847,0.401353
-1.010809,-0.329216,1.06307
0.491403,1.471746,1.551616
0.032753,0.080054,0.086495
0.841435,1.072219,1.362962
1.854847,1.851811,2.621003
527.57709,1.148618,1.263986
0.387708,1.31661,1.372509
-2.015784,-1.45224,2.484429
-342.265819,-0.292098,0.449963
-0.944182,-1.321668,1.62428
-0.877038,-0.403719,0.965497
-1.421183,-1.239154,1.885541
-0.263699,-0.063082,0.271139
2.692625,0.820008,2.814719
-0.508669,0.218261,0.553518
1.289341,0.791307,1.512801
1.897886,1.288482,2.293939
-0.58339,-0.024019,0.583884
1.315573,1.549008,2.032279
-0.423238,-0.108376,0.436894
0.834404,0.691967,1.083997
-1.4808,-1.401251,2.038693
-0.8987,-0.256778,0.934664
0.245308,-0.531714,0.585573
0.430039,-0.149713,0.455354
-0.118127,-0.330988,0.351436
-1.374011,-0.950686,1.670841
-0.318451,-0.704578,0.773202
-0.087478,0.54167,0.548688
