@relation dataset_20

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 numeric
@attribute class numeric

@data
-0.885612,-1.211129,-1.211129,1.50038
0.577376,-0.761432,-0.761432,0.955584
0.393827,1.129987,1.129987,1.19665
0.900714,0.000982,0.000982,0.900714
1.098154,0.469756,0.469756,1.194409
1.838277,1.025886,1.025886,2.105161
-0.659168,-0.391285,-0.391285,0.766555
0.214465,0.257603,0.257603,0.335193
-0.951668,-0.894877,-0.894877,1.306322
-0.495609,-0.29223,-0.29223,0.575349
-0.327952,-0.372944,-0.372944,0.496628
0.21717,-0.228869,-0.228869,0.315505
0.68194,-0.031841,-0.031841,0.682683
-0.136192,1.09843,1.09843,1.10684
0.124468,0.069994,0.069994,0.142798
0.486753,-0.258314,-0.258314,0.551048
-0.591793,0.027182,0.027182,0.592417
0.131425,0.201872,0.201872,0.240884
0.283227,-0.303773,-0.303773,0.415326
0.00987,-0.376155,-0.376155,0.376284
0.436336,-0.050968,-0.050968,0.439303
1.009884,1.063038,1.063038,1.466259
0.312099,0.290501,0.290501,0.426376
-0.703881,0.18228,0.18228,0.7271
-1.401801,-1.027907,-1.027907,1.738286
-0.001211,-0.228987,-0.228987,0.22899
-1.009671,-1.005701,-1.005701,1.425086
-0.098806,-0.054717,-0.054717,0.112945
-0.302102,-0.091999,-0.091999,0.315799
-0.387101,-0.895814,-0.895814,0.975874
1.764023,1.231146,1.231146,2.151161
-0.379215,-0.389598,-0.389598,0.543683
-0.044684,0.448548,0.448548,0.450768
1.31065,0.563624,0.563624,1.426701
0.47005,1.081831,1.081831,1.179536
-1.298934,-1.449677,-1.449677,1.946482
-0.820256,0.095496,0.095496,0.825796
-1.207927,-1.410085,-1.410085,1.856725
-1.592892,-1.374211,-1.374211,2.10375
-0.789344,-0.549149,-0.549149,0.961576
-0.278182,-0.359545,-0.359545,0.454597
-1.207689,0.225928,0.225928,1.22864
0.189266,-0.06752,-0.06752,0.20095
-0.274077,-1.698043,-1.698043,1.720019
-1.326511,-1.027181,-1.027181,1.677717
-0.559764,-0.274734,-0.274734,0.62355
-0.661004,-1.110494,-1.110494,1.292333
-1.108801,-0.21358,-0.21358,1.129184
-1.296405,-0.750557,-0.750557,1.497999
-0.456209,0.179249,0.179249,0.490161
0.279832,0.003054,0.003054,0.279849
-0.56997,0.062885,0.062885,0.573429
0.694611,0.904072,0.904072,1.140101
-0.148033,0.39336,0.39336,0.420293
0.062157,0.082896,0.082896,0.103611
-0.104861,0.028861,0.028861,0.108761
