@relation dataset_6

@attribute col0 numeric
@attribute col1 numeric
@attribute class {class1,class2,class0}

@data
4.996112,5.123421,class1
4.717918,4.457526,class1
9.856265,10.55863,class2
?,-1.433142,class0
-0.557786,-1.537726,class0
0.759622,1.109227,class0
9.927982,10.207905,class2
4.687065,4.22223,class1
9.155893,9.620002,class2
10.602316,10.518508,class2
3.923405,4.361873,class1
-0.831177,-0.022149,class0
10.264078,10.061226,class2
9.366725,9.341395,class2
6.183718,6.185397,class1
6.275562,7.026117,class1
5.491804,5.450748,class1
-0.040793,-0.959535,class0
8.917237,9.063712,class2
-0.561971,-0.559345,class0
7.188301,7.338572,class2
-0.312614,-0.041873,class0
5.078976,4.750011,class1
11.642817,11.776622,class2
9.949312,9.593849,class2
10.233994,10.860005,class2
?,-0.781751,class0
1.091452,0.075328,class0
0.268131,0.617048,class0
10.066552,9.462756,class2
10.117953,10.035898,class2
11.859373,11.415768,class2
1.61538,1.623738,class0
?,9.970641,class2
4.786031,4.549516,class1
?,4.230116,class1
6.28271,7.237075,class1
5.206656,4.624843,class1
0.262791,0.950204,class0
-0.297868,0.753942,class0
1.385539,0.927293,class0
5.15443,4.923716,class1
-0.116935,0.227693,class0
4.703331,4.2124,class1
-0.118355,-0.26404,class0
-0.73899,-1.152524,class0
?,5.883276,class1
-0.703693,-0.681812,class0
2.273389,1.492377,class0
5.032451,5.597461,class1
?,0.089152,class0
9.170174,10.602855,class2
9.850407,10.320808,class2
0.773804,0.480542,class0
5.374421,5.846155,class1
-0.254335,0.256285,class0
4.71264,3.950775,class1
4.40162,4.138199,class1
5.007639,5.194558,class1
4.648504,4.353398,class1
5.619356,5.534399,class1
10.234223,8.881699,class2
-0.325555,-0.463118,class0
-0.265541,0.343976,class0
5.064389,5.3538,class1
0.849008,1.015101,class0
0.996457,0.656158,class0
-0.576263,0.18633,class0
11.877262,11.810128,class2
9.422661,9.298207,class2
0.80429,1.112565,class0
?,9.286351,class2
-1.70546,-1.334551,class0
-0.411402,-0.707126,class0
1.207015,1.056108,class0
-0.731636,-0.315756,class0
11.568901,11.26675,class2
6.870253,6.52528,class1
8.246795,9.099305,class2
0.81331,0.660484,class0
6.676647,6.432877,class1
5.90354,5.573625,class1
10.676954,11.251276,class2
6.071295,4.565493,class1
0.765397,0.562763,class0
0.944035,1.426399,class0
4.347133,4.683989,class1
2.720429,3.124297,class1
4.396581,3.283497,class1
?,8.183685,class2
4.941657,5.159253,class1
4.404388,4.271679,class1
0.895292,1.110705,class0
1.891654,3.007915,class1
1.488623,1.271625,class0
-0.298833,-0.005748,class0
0.520094,0.413687,class0
-0.055654,-1.265426,class0
10.307718,9.23002,class2
0.71697,1.241828,class0
8.682162,9.299053,class2
4.466395,4.238748,class1
