@relation dataset_8

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 numeric
@attribute class {class1,class0,class2}

@data
2.488837,3.0696,2.488837,class1
0.095274,-0.175093,0.095274,class0
10.136476,10.982357,10.136476,class2
0.854614,0.368864,0.854614,class0
10.766723,10.519493,10.766723,class2
9.744288,9.906355,9.744288,class2
5.364296,5.077533,5.364296,class1
-3.348111,-2.677868,-3.348111,class0
4.751491,3.103587,4.751491,class1
5.824813,5.205604,5.824813,class1
9.040395,8.72141,9.040395,class2
5.917521,7.097247,5.917521,class1
0.572536,0.89271,0.572536,class0
10.151522,9.520544,10.151522,class2
4.947883,5.260721,4.947883,class1
11.291732,11.101486,11.291732,class2
5.846012,4.948781,5.846012,class1
-0.319714,-0.799146,-0.319714,class0
8.572596,8.914962,8.572596,class2
5.846666,6.04113,5.846666,class1
9.300225,9.251936,9.300225,class2
5.931426,4.778781,5.931426,class1
4.253789,4.221555,4.253789,class1
5.162328,5.140388,5.162328,class1
11.267206,12.104125,11.267206,class2
10.45291,9.650615,10.45291,class2
0.151321,1.117418,0.151321,class0
4.833342,5.809024,4.833342,class1
-0.726495,-0.709701,-0.726495,class0
9.395422,9.033805,9.395422,class2
5.852312,5.98815,5.852312,class1
5.075604,6.551623,5.075604,class1
5.02375,5.029526,5.02375,class1
5.103223,4.260315,5.103223,class1
4.573492,3.792474,4.573492,class1
8.800229,9.64823,8.800229,class2
7.767458,8.674746,7.767458,class2
5.090438,5.377211,5.090438,class1
7.949574,7.857154,7.949574,class2
5.957746,4.717892,5.957746,class1
0.440897,0.113634,0.440897,class0
5.423336,6.290633,5.423336,class1
4.780011,5.271435,4.780011,class1
4.497993,4.468794,4.497993,class1
-1.251355,-1.16099,-1.251355,class0
8.130898,7.610657,8.130898,class2
6.532129,6.028359,6.532129,class1
10.106353,10.227277,10.106353,class2
8.216652,8.503038,8.216652,class2
5.095987,4.616636,5.095987,class1
4.783667,5.738785,4.783667,class1
11.284532,10.62199,11.284532,class2
5.411162,5.696775,5.411162,class1
0.047773,0.166593,0.047773,class0
5.767531,4.368765,5.767531,class1
0.948797,0.809647,0.948797,class0
9.169394,9.033537,9.169394,class2
4.876798,4.16058,4.876798,class1
0.410617,1.312199,0.410617,class0
4.273066,3.905087,4.273066,class1
-1.652821,-1.491478,-1.652821,class0
8.854393,8.869512,8.854393,class2
1.63169,0.927789,1.63169,class0
6.675291,6.762038,6.675291,class1
-0.957365,-0.540146,-0.957365,class0
0.922618,0.359722,0.922618,class0
0.682882,0.419212,0.682882,class0
1.265898,0.855431,1.265898,class0
10.996144,10.028049,10.996144,class2
8.949182,9.504937,8.949182,class2
2.928861,2.596205,2.928861,class1
8.219556,8.405574,8.219556,class2
9.791487,9.798332,9.791487,class2
4.825628,4.426207,4.825628,class1
11.602027,10.624138,11.602027,class2
5.388596,4.825495,5.388596,class1
4.549733,5.229785,4.549733,class1
4.788116,4.754809,4.788116,class1
5.829831,6.119213,5.829831,class1
10.211399,9.6351,10.211399,class2
10.883915,9.870035,10.883915,class2
10.348758,11.1318,10.348758,class2
0.328241,0.392402,0.328241,class0
0.760355,-0.242356,0.760355,class0
9.742613,9.742049,9.742613,class2
9.111079,9.812209,9.111079,class2
10.199441,9.826988,10.199441,class2
4.448704,3.914768,4.448704,class1
4.536741,5.383617,4.536741,class1
10.312831,9.654748,10.312831,class2
4.53331,5.979936,4.53331,class1
-0.030702,0.887416,-0.030702,class0
1.872228,1.537663,1.872228,class0
10.709725,10.026921,10.709725,class2
8.955755,9.465632,8.955755,class2
10.216227,10.590958,10.216227,class2
5.157416,4.90727,5.157416,class1
5.689653,6.508977,5.689653,class1
0.190994,-0.096247,0.190994,class0
10.227836,9.551542,10.227836,class2
-1.374341,-1.83347,-1.374341,class0
2.020768,1.232542,2.020768,class0
6.625246,6.85246,6.625246,class1
5.363488,6.123658,5.363488,class1
5.640903,4.580856,5.640903,class1
0.266588,-0.050708,0.266588,class0
10.301163,10.342626,10.301163,class2
5.023154,5.784161,5.023154,class1
0.484881,1.174785,0.484881,class0
9.495015,8.985228,9.495015,class2
9.7506,9.162139,9.7506,class2
6.19715,5.33603,6.19715,class1
2.119174,2.237526,2.119174,class0
-1.644417,-1.411244,-1.644417,class0
10.277692,11.396806,10.277692,class2
9.790001,9.670539,9.790001,class2
